Year,Canada,France,Germany,Italy,Japan,UK,US,,,,,,,,
1997,59.7 ,70.2 ,73.7 ,89.4 ,86.3 ,65.7 ,60.6 ,,,,,,,,
1998,62.0 ,72.8 ,75.2 ,91.1 ,85.2 ,67.8 ,63.3 ,,,,,,,,
1999,65.2 ,75.3 ,76.6 ,92.5 ,84.9 ,69.8 ,66.3 ,,,,,,,,
2000,68.6 ,78.2 ,78.8 ,96.0 ,87.3 ,72.7 ,69.0 ,,,,,,,,
2001,69.8 ,79.8 ,80.2 ,97.9 ,87.6 ,74.3 ,69.7 ,,,,,,,,
2002,71.9 ,80.7 ,80.0 ,98.2 ,87.6 ,75.6 ,70.9 ,,,,,,,,
2003,73.2 ,81.3 ,79.4 ,98.3 ,89.0 ,78.0 ,72.8 ,,,,,,,,
2004,75.5 ,83.6 ,80.4 ,99.7 ,90.9 ,79.8 ,75.6 ,,,,,,,,
2005,77.9 ,85.0 ,81.0 ,100.5 ,92.6 ,81.9 ,78.3 ,,,,,,,,
2006,80.0 ,87.1 ,84.1 ,102.3 ,93.8 ,83.7 ,80.5 ,,,,,,,,
2007,81.6 ,89.2 ,86.6 ,103.8 ,95.2 ,85.8 ,82.1 ,,,,,,,,
2008,82.5 ,89.4 ,87.4 ,102.8 ,94.1 ,85.7 ,82.2 ,,,,,,,,
2009,80.0 ,86.9 ,82.4 ,97.4 ,88.7 ,81.8 ,80.0 ,,,,,,,,
2010,82.5 ,88.6 ,85.9 ,99.1 ,92.3 ,83.8 ,82.2 ,,,,,,,,
2011,85.1 ,90.5 ,89.2 ,99.8 ,92.4 ,84.7 ,83.5 ,,,,,,,,
2012,86.6 ,90.8 ,89.6 ,96.8 ,93.6 ,85.9 ,85.4 ,,,,,,,,
2013,88.6 ,91.3 ,90.0 ,95.0 ,95.5 ,87.5 ,87.0 ,,,,,,,,
2014,91.2 ,92.2 ,92.0 ,95.0 ,95.8 ,90.3 ,88.9 ,,,,,,,,
2015,91.8 ,93.2 ,93.4 ,95.8 ,97.3 ,92.5 ,91.4 ,,,,,,,,
2016,92.7 ,94.2 ,95.4 ,97.0 ,98.0 ,94.5 ,92.9 ,,,,,,,,
2017,95.5 ,96.4 ,98.0 ,98.6 ,99.7 ,96.8 ,95.0 ,,,,,,,,
2018,98.2 ,98.2 ,99.0 ,99.5 ,100.2 ,98.4 ,97.8 ,,,,,,,,
2019,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,,,,,,,,
2020,94.8 ,92.2 ,96.3 ,91.0 ,95.5 ,89.0 ,97.2 ,,,,,,,,
2021,99.1 ,98.5 ,98.8 ,97.1 ,0.0 ,95.7 ,103.0 ,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
