Year,Country,Value
1997,Canada,59.702
1998,Canada,62.028
1999,Canada,65.23
2000,Canada,68.608
2001,Canada,69.836
2002,Canada,71.944
2003,Canada,73.24
2004,Canada,75.501
2005,Canada,77.92
2006,Canada,79.973
2007,Canada,81.627
2008,Canada,82.45
2009,Canada,80.035
2010,Canada,82.508
2011,Canada,85.105
2012,Canada,86.604
2013,Canada,88.622
2014,Canada,91.165
2015,Canada,91.766
2016,Canada,92.685
2017,Canada,95.502
2018,Canada,98.155
2019,Canada,100
2020,Canada,94.766
2021,Canada,99.07
1997,Germany,73.702
1998,Germany,75.186
1999,Germany,76.605
2000,Germany,78.836
2001,Germany,80.162
2002,Germany,80.003
2003,Germany,79.443
2004,Germany,80.377
2005,Germany,80.965
2006,Germany,84.055
2007,Germany,86.557
2008,Germany,87.387
2009,Germany,82.412
2010,Germany,85.856
2011,Germany,89.227
2012,Germany,89.6
2013,Germany,89.992
2014,Germany,91.98
2015,Germany,93.353
2016,Germany,95.435
2017,Germany,97.992
2018,Germany,98.954
2019,Germany,100
2020,Germany,96.303
2021,Germany,98.833
